ADM_RATE,AGE_ENTRY,AVGFACSAL,CONTROL,COSTT4_A,ENDOWBEGIN,FEMALE,FIRST_GEN,GRAD_DEBT_MDN,LOCALE,MD_EARN_WNE_P10,MN_EARN_WNE_P10,PCIP14,PCIP27,PFTFAC,PCT_ASIAN,PCT_BLACK,PCT_WHITE,PCT_HISPANIC,PCTPELL,REGION,SAT_AVG,UGDS
0.9368,23.194871795,9713,Public,17561,55008546,0.5933941764,0.4904833191,15000,City,61267,54200,0.0701,0.0084,0.4602,10.4200000762939,7.88999986648559,64.8399963378906,19.7999992370605,0.5015,Far West,NA,29370
0.1444,21.506537388,18770,Public,37510,2173287000,0.5464962539,0.3458005249,13000,City,88046,79000,0.1227,0.0427,0.6688,16.6900005340576,6.80999994277954,59.2599983215332,23.5699996948242,0.272,Far West,NA,31811
0.4875,21.202801724,15968,Public,33396,484130000,0.6267241379,0.4083114282,13000,Surbuban,74305,68100,0.096,0.0364,0.8616,16.9599990844726,6.51999998092651,59.1300010681152,22.3199996948242,0.3429,Far West,NA,31637
0.2882,20.456399515,16688,Public,30173,532004000,0.5660897365,0.4398111723,15000,City,76593,65800,0.1084,0.0305,0.798,17.7399997711181,4.36999988555908,58.4000015258789,28.7099990844726,0.3837,Far West,NA,29438
0.1077,21.083592708,19498,Public,29153,2359984000,0.6031569586,0.3808913934,14000,City,79826,73200,0.075,0.0696,0.7182,15.579999923706,5.80000019073486,58.0400009155273,29.7700004577636,0.2842,Far West,NA,32122
0.6538,20.26240301,14807,Public,30569,193196000,0.5768869034,0.4834699068,17500,City,63645,55300,0.074,0.0349,0.8512,14.4099998474121,7.03999996185302,53.9000015258789,36.5499992370605,0.4999,Far West,NA,22817
0.342,20.78065032,16913,Public,32719,895245000,0.5198560768,0.3957082833,15500,City,82255,69600,0.1245,0.043,0.8544,16.8700008392334,4.63999986648559,60.1500015258789,26.2900009155273,0.3338,Far West,NA,33339
0.2918,20.176479775,17654,Public,34738,278285000,0.5778541309,0.4240058108,13993,Surbuban,70326,62400,0.0374,0.0849,0.8759,10.3800001144409,4.94000005722045,63.8199996948242,30.1700000762939,0.32,Far West,NA,23081
0.5864,20.455008787,15513,Public,37040,115645000,0.5430579965,0.3674975075,16666,City,64166,53800,0.0343,0.0215,0.7383,13.0299997329711,5.07999992370605,64.8199996948242,22.8700008392334,0.3178,Far West,NA,17864
0.2898,21.19205298,9555,Private-NP,74931,179402319,0.5264900662,0.1573426573,25000,Surbuban,41120,50600,0,0,0.6492,7.86999988555908,7.23999977111816,70.2600021362304,21.1100006103515,0.227,Far West,NA,959
0.8209,21.15920398,10310,Public,24845,10783408,0.1915422886,0.1994750656,24965,City,91812,87800,0.1377,0,0.7614,11.1499996185302,5.42000007629394,69.1999969482422,16.3700008392334,0.2734,Far West,NA,880
0.6037,19.902770234,12582,Private-NP,71065,412064000,0.6474741988,0.1787741203,20500,City,64844,56600,0.0038,0.0189,0.9965,7.88999986648559,4.46999979019165,69.870002746582,24.7099990844726,0.1898,Far West,1318,7469
0.8138,22.589552239,7385,Private-NP,53068,35171761,0.6727078891,0.2838633687,24247,City,59831,50800,0,0.0191,1,9.67000007629394,3.94000005722045,70.0800018310547,23.8700008392334,0.257,Far West,1174,1580
0.527,26.783216783,6874,Private-NP,47504,719210,0.5431235431,0.4083769634,24941,Surbuban,50020,42500,0,0,0.1183,6.34999990463257,5.05999994277954,72.3300018310547,22.8999996185302,0.3561,Far West,NA,438
0.1124,19.497652582,14789,Private-NP,66496,952269000,0.4882629108,NA,13500,Surbuban,97174,93200,0.0195,0.039,0.9326,11.6700000762939,5.46000003814697,68.7799987792968,19.579999923706,0.1973,Far West,1487,1414
NA,21.175675676,6369,Private-NP,39843,NA,0.4504504505,0.2953367876,25000,City,37542,39500,0,0,0.0721,6.17000007629394,9.23999977111816,70.1399993896484,20.3099994659423,0.5289,Far West,NA,493
0.9293,21.482954545,9008,Private-NP,66179,30877436,0.7291666667,0.306122449,27000,City,71134,63600,0,0,0.2769,12.8900003433227,6.19999980926513,65.7300033569336,18.9200000762939,0.33,Far West,1160,1243
0.7786,28.673539519,7738,Private-NP,38688,17569795,0.7451317297,0.4657631954,23146,City,55044,45600,0,0.0034,0.9412,5.59000015258789,4.1100001335144,61.5299987792968,39.6500015258789,0.6093,Far West,1100,2668
NA,33.274853801,9486,Private-NP,NA,41389065,0.5438596491,0.5273972603,29875,City,86864,82300,0,0,1,18.6000003814697,7.98999977111816,58.2400016784668,18.7099990844726,0.1563,Far West,NA,679
0.0999,19.230392157,14431,Private-NP,63989,319714177,0.4362745098,NA,25000,Surbuban,128215,104200,0.3085,0.0798,0.9604,12.3599996566772,4.30000019073486,71.75,15.5299997329711,0.1206,Far West,1533,905
0.9531,22.581699346,8092,Private-NP,54556,54619996,0.6666666667,0.4749034749,24125,City,67068,57600,0,0,0.1795,16.7000007629394,15.8000001907348,49.0400009155273,22.7999992370605,0.4598,Far West,NA,592
0.9146,22.30773496,9796,Public,24219,32587726,0.5871915719,0.44061178,18000,Town,46266,40100,0.0231,0.0089,0.5407,5.40999984741211,4.57999992370605,74.2600021362304,17.7600002288818,0.515,Far West,NA,5336
NA,28.439873418,5621,Private-NP,24088,171384,0.7753164557,0.5897435897,35500,City,37815,33200,0,0,0.1346,12.579999923706,6.94999980926513,56.8300018310547,30.3099994659423,0.6696,Far West,NA,197
0.9397,21.878594249,6168,Private-NP,31462,4030013,0.552715655,0.3714285714,22395,Surbuban,40331,34400,0,0,0.2169,6.46000003814697,5.88000011444091,71.3499984741211,22.6900005340576,0.502,Far West,NA,419
0.7194,26.103714085,9284,Private-NP,60612,109253175,0.6243868255,0.5062086093,23500,Surbuban,62629,52700,0,0.0016,0.3388,8.56999969482422,6.57000017166137,59.2599983215332,38.7000007629394,0.4706,Far West,1028,3686
0.833,21.415458937,9260,Private-NP,53081,3052027,0.7198067633,0.219895288,27000,Rural,55170,41400,0,0,0.1337,8.60000038146972,5.34000015258789,73.1100006103515,18.7000007629394,0.3566,Far West,NA,735
NA,26.117647059,6701,Private-NP,22440,16726,NA,NA,NA,City,NA,NA,0,0,0.5806,16.8400001525878,12.1999998092651,55.3899993896484,18.3899993896484,0.2184,Far West,NA,168
0.6607,21.089770355,8020,Private-NP,46046,20797171,0.633611691,0.3961584634,27000,City,60858,54600,0,0.0033,0.5138,8.77000045776367,7.78000020980835,59.9399986267089,33.3400001525878,0.4411,Far West,1023,1270
NA,25.97398374,8935,Private-NP,NA,428977000,0.7089430894,0.3838951311,20854,Surbuban,85686,93600,0,0,0.9504,9.76000022888183,6.57999992370605,64.4199981689453,26.8099994659423,0.3099,Far West,NA,980
